seq,sub_seq,conference,year,Long / Short /Stud,author,title & author,section,src,# of sentence,,
283,,,,,"Minjoon Seo, Sewon Min, Ali Farhadi, Hannaneh Hajishirzi",Query-Reduction Networks for Question Answering,abstract,https://paperswithcode.com/paper/query-reduction-networks-for-question,,,
284,,,,,"Kyosuke Nishida, Itsumi Saito, Kosuke Nishida, Kazutoshi Shinoda, Atsushi Otsuka, Hisako Asano, Junji Tomita",Multi-style Generative Reading Comprehension,abstract,https://paperswithcode.com/paper/multi-style-generative-reading-comprehension,,,
285,,,,,"Yishu Miao, Lei Yu, Phil Blunsom",Neural Variational Inference for Text Processing,abstract,https://paperswithcode.com/paper/neural-variational-inference-for-text,,,
286,,,,,"Yi Tay, Luu Anh Tuan, Siu Cheung Hui",Hyperbolic Representation Learning for Fast and Efficient Neural Question Answering,abstract,https://paperswithcode.com/paper/hyperbolic-representation-learning-for-fast,,,
287,,,,,"Mandar Joshi, Danqi Chen, Yinhan Liu, Daniel S. Weld, Luke Zettlemoyer, Omer Levy",SpanBERT: Improving Pre-training by Representing and Predicting Spans,abstract,https://paperswithcode.com/paper/spanbert-improving-pre-training-by,,,
288,,,,,"Yinhan Liu, Myle Ott, Naman Goyal, Jingfei Du, Mandar Joshi, Danqi Chen, Omer Levy, Mike Lewis, Luke Zettlemoyer, Veselin Stoyanov",RoBERTa: A Robustly Optimized BERT Pretraining Approach,abstract,https://paperswithcode.com/paper/roberta-a-robustly-optimized-bert-pretraining,,,
289,,,,,"Danqi Chen, Adam Fisch, Jason Weston, Antoine Bordes",Reading Wikipedia to Answer Open-Domain Questions,abstract,https://paperswithcode.com/paper/reading-wikipedia-to-answer-open-domain,,,
290,,,,,"Alexander Miller, Adam Fisch, Jesse Dodge, Amir-Hossein Karimi, Antoine Bordes, Jason Weston",Key-Value Memory Networks for Directly Reading Documents,abstract,https://paperswithcode.com/paper/key-value-memory-networks-for-directly,,,
291,,,,,"Yixing Fan, Liang Pang, JianPeng Hou, Jiafeng Guo, Yanyan Lan, Xueqi Cheng",MatchZoo: A Toolkit for Deep Text Matching,abstract,https://paperswithcode.com/paper/matchzoo-a-toolkit-for-deep-text-matching,,,
292,,,,,"Yu Sun, Shuohuan Wang, Yukun Li, Shikun Feng, Hao Tian, Hua Wu, Haifeng Wang",ERNIE 2.0: A Continual Pre-training Framework for Language Understanding,abstract,https://paperswithcode.com/paper/ernie-20-a-continual-pre-training-framework,,,
293,,,,,"Bryan McCann, Nitish Shirish Keskar, Caiming Xiong, Richard Socher",The Natural Language Decathlon: Multitask Learning as Question Answering,abstract,https://paperswithcode.com/paper/the-natural-language-decathlon-multitask,,,
294,,,,,"Tao Lei, Yu Zhang, Sida I. Wang, Hui Dai, Yoav Artzi",Simple Recurrent Units for Highly Parallelizable Recurrence,abstract,https://paperswithcode.com/paper/simple-recurrent-units-for-highly,,,
295,,,,,"Xu Han, Shulin Cao, Xin Lv, Yankai Lin, Zhiyuan Liu, Maosong Sun, Juanzi Li",OpenKE: An Open Toolkit for Knowledge Embedding,abstract,https://paperswithcode.com/paper/openke-an-open-toolkit-for-knowledge,,,
296,,,,,"Iulian Vlad Serban, Tim Klinger, Gerald Tesauro, Kartik Talamadupula, Bowen Zhou, Yoshua Bengio, Aaron Courville",Multiresolution Recurrent Neural Networks: An Application to Dialogue Response Generation,abstract,https://paperswithcode.com/paper/multiresolution-recurrent-neural-networks-an,,,
297,,,,,"Jiwei Li, Will Monroe, Tianlin Shi, Sébastien Jean, Alan Ritter, Dan Jurafsky",Adversarial Learning for Neural Dialogue Generation,abstract,https://paperswithcode.com/paper/adversarial-learning-for-neural-dialogue,,,
298,,,,,"Shikhar Sharma, Layla El Asri, Hannes Schulz, Jeremie Zumer",Relevance of Unsupervised Metrics in Task-Oriented Dialogue for Evaluating Natural Language Generation,abstract,https://paperswithcode.com/paper/relevance-of-unsupervised-metrics-in-task,,,
299,,,,,Oswaldo Ludwig,End-to-end Adversarial Learning for Generative Conversational Agents,abstract,https://paperswithcode.com/paper/end-to-end-adversarial-learning-for,,,
300,,,,,"Yanru Qu, Bohui Fang, Weinan Zhang, Ruiming Tang, Minzhe Niu, Huifeng Guo, Yong Yu, Xiuqiang He",Product-based Neural Networks for User Response Prediction over Multi-field Categorical Data,abstract,https://paperswithcode.com/paper/product-based-neural-networks-for-user-1,,,
301,,,,,"Junran Peng, Ming Sun, Zhaoxiang Zhang, Tieniu Tan, Junjie Yan",Efficient Neural Architecture Transformation Searchin Channel-Level for Object Detection,abstract,https://arxiv.org/abs/1909.02293,,,
302,,,,,"Qi Cai, Yingwei Pan, Chong-Wah Ngo, Xinmei Tian, Lingyu Duan, Ting Yao",Exploring Object Relation in Mean Teacher for Cross-Domain Detection,abstract,https://arxiv.org/abs/1904.11245,,,
303,,,,,"Yukang Chen, Tong Yang, Xiangyu Zhang, Gaofeng Meng, Chunhong Pan, Jian Sun",DetNAS: Backbone Search for Object Detection,abstract,https://arxiv.org/abs/1903.10979,,,
304,,,,,"Qi Fan, Wei Zhuo, Yu-Wing Tai",Few-Shot Object Detection with Attention-RPN and Multi-Relation Detector,abstract,https://arxiv.org/abs/1908.01998,,,
305,,,,,"Xiaosong Zhang, Fang Wan, Chang Liu, Rongrong Ji, Qixiang Ye",FreeAnchor: Learning to Match Anchors for Visual Object Detection,abstract,https://arxiv.org/abs/1909.02466,,,
306,,,,,"Jiwoong Choi, Dayoung Chun, Hyun Kim, Hyuk-Jae Lee",Gaussian YOLOv3: An Accurate and Fast Object Detector using Localization Uncertainty for Autonomous Driving,abstract,https://arxiv.org/abs/1904.04620,,,
307,,,,,"Keren Ye, Mingda Zhang, Adriana Kovashka, Wei Li, Danfeng Qin, Jesse Berent",Cap2Det: Learning to Amplify Weak Caption Supervision for Object Detection,abstract,https://arxiv.org/abs/1907.10164,,,
308,,,,,"Hao Yang, Hao Wu, Hao Chen",Detecting 11K Classes: Large Scale Object Detection Without Fine-Grained Bounding Boxes,abstract,https://arxiv.org/abs/1908.05217,,,
309,,,,,"Ze Yang, Shaohui Liu, Han Hu, Liwei Wang, Stephen Lin",RepPoints: Point Set Representation for Object Detection,abstract,https://arxiv.org/abs/1904.11490,,,
310,,,,,"Zhi Tian, Chunhua Shen, Hao Chen, Tong He",FCOS: Fully Convolutional One-Stage Object Detection,abstract,https://arxiv.org/abs/1904.01355,,,
311,,,,,"Junran Peng, Ming Sun, Zhaoxiang Zhang, Tieniu Tan, Junjie Yan",POD: Practical Object Detection With Scale-Sensitive Network,abstract,https://arxiv.org/abs/1909.02225,,,
312,,,,,"JIyang Gao, Jiang Wang, Shengyang Dai, Li-Jia Li, Ram Nevatia",NOTE-RCNN: NOise Tolerant Ensemble RCNN for Semi-Supervised Object Detection,abstract,https://arxiv.org/abs/1812.00124,,,
313,,,,,"Haiping Wu, Yuntao Chen, Naiyan Wang, Zhaoxiang Zhang",Sequence Level Semantics Aggregation for Video Object Detection,abstract,https://arxiv.org/abs/1907.06390,,,
314,,,,,"Kai Zhao, Shanghua Gao, Wenguan Wang, Ming-Ming Cheng",Optimizing the F-Measure for Threshold-Free Salient Object Detection,abstract,https://arxiv.org/abs/1805.07567,,,
315,,,,,"Jia-Xing Zhao, Jiangjiang Liu, Den-Ping Fan, Yang Cao, Jufeng Yang, Ming-Ming Cheng",EGNet: Edge Guidance Network for Salient Object Detection,abstract,https://arxiv.org/abs/1908.08297,,,
316,,,,,"Bingyi Kang, Zhuang Liu, Xin Wang, Fisher Yu, Jiashi Feng, Trevor Darrell",Few-Shot Object Detection via Feature Reweighting,abstract,https://arxiv.org/abs/1812.01866,,,
317,,,,,"Fan Yang, Heng Fan, Peng Chu, Erik Blasch, Haibin Ling",Clustered Object Detection in Aerial Images,abstract,https://arxiv.org/abs/1904.08008,,,
318,,,,,"Pengxiang Yan, Guanbin Li, Yuan Xie, Zhen Li, Chuan Wang, Tianshui Chen, Liang Lin",Semi-Supervised Video Salient Object Detection Using Pseudo-Labels,abstract,https://arxiv.org/abs/1908.04051,,,
319,,,,,"Haofeng Li, Guanqi Chen, Guanbin Li, Yizhou Yu",Motion Guided Attention for Video Salient Object Detection,abstract,https://arxiv.org/abs/1909.07061,,,
320,,,,,"Yi Zeng, Pingping Zhang, Jianming Zhang, Zhe Lin, Huchuan Lu",Towards High-Resolution Salient Object Detection,abstract,https://arxiv.org/abs/1908.07274,,,
321,,,,,"Guillaume Lample, Miguel Ballesteros, Sandeep Subramanian, Kazuya Kawakami, Chris Dyer",Neural Architectures for Named Entity Recognition,abstract,https://arxiv.org/abs/1603.01360,,,
322,,,,,"Rafal Jozefowicz, Oriol Vinyals, Mike Schuster, Noam Shazeer, Yonghui Wu",Exploring the limits of language modeling,abstract,https://arxiv.org/abs/1602.02410?context=cs,,,
323,,,,,"Karl Moritz Hermann, Tomáš Kočiský, Edward Grefenstette, Lasse Espeholt, Will Kay, Mustafa Suleyman, Phil Blunsom",Teaching machines to read and comprehend,abstract,https://arxiv.org/abs/1506.03340,,,
324,,,,,"Minh-Thang Luong, Hieu Pham, Christopher D. Manning",Effective approaches to attention-based neural machine translation,abstract,https://arxiv.org/abs/1508.04025,,,
325,,,,,"Shuai Zheng, Sadeep Jayasumana, Bernardino Romera-Paredes, Vibhav Vineet, Zhizhong Su, Dalong Du, Chang Huang, Philip H. S. Torr",Conditional random fields as recurrent neural networks,abstract,https://arxiv.org/abs/1502.03240,,,
326,,,,,"Alex Graves, Greg Wayne, Ivo Danihelka",Neural turing machines,abstract,https://arxiv.org/abs/1410.5401,,,
327,,,,,"Jason Weston, Sumit Chopra, Antoine Bordes",Memory networks,abstract,https://arxiv.org/abs/1410.3916,,,
328,,,,,"Dzmitry Bahdanau, Kyunghyun Cho, Yoshua Bengio",Neural machine translation by jointly learning to align and translate,abstract,https://arxiv.org/abs/1409.0473,,,
329,,,,,"Ilya Sutskever, Oriol Vinyals, Quoc V. Le",Sequence to sequence learning with neural networks,abstract,https://arxiv.org/abs/1409.3215?context=cs,,,
330,,,,,"Kyunghyun Cho, Bart van Merrienboer, Caglar Gulcehre, Dzmitry Bahdanau, Fethi Bougares, Holger Schwenk, Yoshua Bengio",Learning phrase representations using RNN encoder-decoder for statistical machine translation,abstract,https://arxiv.org/abs/1406.1078,,,
331,,,,,"Nal Kalchbrenner, Edward Grefenstette, Phil Blunsom",A convolutional neural network for modeling sentences,abstract,https://arxiv.org/abs/1404.2188,,,
332,,,,,"Quoc V. Le, Tomas Mikolov",Distributed representations of sentences and documents,abstract,https://arxiv.org/abs/1405.4053,,,
333,,,,,"Tomas Mikolov, Ilya Sutskever, Kai Chen, Greg Corrado, Jeffrey Dean",Distributed representations of words and phrases and their compositionality,abstract,https://arxiv.org/abs/1310.4546,,,
334,,,,,"Tomas Mikolov, Kai Chen, Greg Corrado, Jeffrey Dean",Efficient estimation of word representations in vector space,abstract,https://arxiv.org/abs/1301.3781,,,
335,,,,,Alex Graves,Generating sequences with recurrent neural networks,abstract,https://arxiv.org/abs/1308.0850,,,
336,,,,,"Dzmitry Bahdanau, Jan Chorowski, Dmitriy Serdyuk, Philemon Brakel, Yoshua Bengio",End-to-end attention-based large vocabulary speech recognition,abstract,https://arxiv.org/abs/1508.04395,,,
337,,,,,"Dario Amodei, Rishita Anubhai, Eric Battenberg, Carl Case, Jared Casper, Bryan Catanzaro, Jingdong Chen, Mike Chrzanowski, Adam Coates, Greg Diamos, Erich Elsen, Jesse Engel, Linxi Fan, Christopher Fougner, Tony Han, Awni Hannun, Billy Jun, Patrick LeGresley, Libby Lin, Sharan Narang, Andrew Ng, Sherjil Ozair, Ryan Prenger, Jonathan Raiman, Sanjeev Satheesh, David Seetapun, Shubho Sengupta, Yi Wang, Zhiqian Wang, Chong Wang, Bo Xiao, Dani Yogatama, Jun Zhan, Zhenyao Zhu",Deep speech 2: End-to-end speech recognition in English and Mandarin,abstract,https://arxiv.org/abs/1512.02595,,,
338,,,,,"Alex Graves, Abdel-rahman Mohamed, Geoffrey Hinton",Speech recognition with deep recurrent neural networks,abstract,https://arxiv.org/abs/1303.5778,,,
339,,,,,"Geoffrey Hinton, Li Deng, Dong Yu, George Dahl, Abdel-rahman Mohamed, Navdeep Jaitly, Andrew Senior, Vincent Vanhoucke, Patrick Nguyen, Tara Sainath, and Brian Kingsbury",Deep neural networks for acoustic modeling in speech recognition: The shared views of four research groups,abstract,https://ieeexplore.ieee.org/document/6296526,,,
340,,,,,"George E. Dahl, Dong Yu, Senior Member, IEEE, Li Deng, Fellow, IEEE, and Alex Acero, Fellow, IEEE",Context-dependent pre-trained deep neural networks for large-vocabulary speech recognition,abstract,https://ieeexplore.ieee.org/document/5740583,,,
341,,,,,"Sergey Levine, Chelsea Finn, Trevor Darrell, Pieter Abbeel",End-to-end training of deep visuomotor policies,abstract,https://arxiv.org/abs/1504.00702,,,
342,,,,,"Timothy P. Lillicrap, Jonathan J. Hunt, Alexander Pritzel, Nicolas Heess, Tom Erez, Yuval Tassa, David Silver, Daan Wierstra",Continuous control with deep reinforcement learning,abstract,https://arxiv.org/abs/1509.02971,,,
343,,,,,"Ian Lenz, Honglak Lee, Ashutosh Saxena",Deep learning for detecting robotic grasps,abstract,https://arxiv.org/abs/1301.3592,,,
344,,,,,"Volodymyr Mnih, Koray Kavukcuoglu, David Silver, Alex Graves, Ioannis Antonoglou, Daan Wierstra, Martin Riedmiller",Playing atari with deep reinforcement learning,abstract,https://arxiv.org/abs/1312.5602,,,
345,,,,,"Chao Dong, Chen Change Loy, Member, IEEE, Kaiming He, Member, IEEE, and Xiaoou Tang, Fellow, IEEE",Image Super-Resolution Using Deep Convolutional Networks,abstract,https://ieeexplore.ieee.org/document/7115171,,,
346,,,,,"Leon A. Gatys, Alexander S. Ecker, Matthias Bethge",A neural algorithm of artistic style,abstract,https://arxiv.org/abs/1508.06576,,,
347,,,,,"Andrej Karpathy, Li Fei-Fei",Deep visual-semantic alignments for generating image descriptions,abstract,https://arxiv.org/abs/1412.2306,,,
348,,,,,"Kelvin Xu, Jimmy Ba, Ryan Kiros, Kyunghyun Cho, Aaron Courville, Ruslan Salakhutdinov, Richard Zemel, Yoshua Bengio","Show, attend and tell: Neural image caption generation with visual attention",abstract,https://arxiv.org/abs/1502.03044,,,
349,,,,,"Oriol Vinyals, Alexander Toshev, Samy Bengio, Dumitru Erhan",Show and tell: A neural image caption generator,abstract,https://arxiv.org/abs/1411.4555,,,
350,,,,,"Aishwarya Agrawal, Jiasen Lu, Stanislaw Antol, Margaret Mitchell, C. Lawrence Zitnick, Dhruv Batra, Devi Parikh",VQA: Visual Question Answering,abstract,https://arxiv.org/abs/1505.00468,,,
351,,,,,"Yaniv Taigman, Ming Yang,  Marc’Aurelio Ranzato, Lior Wolf",DeepFace: Closing the gap to human-level performance in face verification,abstract,https://ieeexplore.ieee.org/document/6909616,,,
352,,,,,"Andrej Karpathy, George Toderici, Sanketh Shetty, Thomas Leung, Rahul Sukthankar, Li Fei-Fei",Large-scale video classification with convolutional neural networks,abstract,https://ieeexplore.ieee.org/abstract/document/6909619,,,
353,,,,,"Karen Simonyan, Andrew Zisserman",Two-stream convolutional networks for action recognition in videos,abstract,https://arxiv.org/abs/1406.2199,,,
354,,,,,"Shuiwang Ji, Wei Xu, Ming Yang, Kai Yu",3D convolutional neural networks for human action recognition,abstract,https://ieeexplore.ieee.org/document/6165309,,,
355,,,,,"Jonathan Long, Evan Shelhamer, Trevor Darrell",Fully convolutional networks for semantic segmentation,abstract,https://arxiv.org/abs/1411.4038,,,
356,,,,,"Shaoqing Ren, Kaiming He, Ross Girshick, Jian Sun",Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,abstract,https://arxiv.org/abs/1506.01497,,,
357,,,,,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",Rich feature hierarchies for accurate object detection and semantic segmentation,abstract,https://arxiv.org/abs/1311.2524,,,
358,,,,,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Spatial pyramid pooling in deep convolutional networks for visual recognition,abstract,https://arxiv.org/abs/1406.4729,,,
359,,,,,"Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, Alan L. Yuille",Semantic image segmentation with deep convolutional nets and fully connected CRFs,abstract,https://arxiv.org/abs/1412.7062,,,
360,,,,,"Clement Farabet, Camille Couprie, Laurent Najman, Yann LeCun",Learning hierarchical features for scene labeling,abstract,https://ieeexplore.ieee.org/abstract/document/6338939,,,
361,,,,,"Christian Szegedy, Vincent Vanhoucke, Sergey Ioffe, Jonathon Shlens, Zbigniew Wojna",Rethinking the inception architecture for computer vision,abstract,https://arxiv.org/abs/1512.00567,,,
362,,,,,"Christian Szegedy, Sergey Ioffe, Vincent Vanhoucke, Alex Alemi","Inception-v4, inception-resnet and the impact of residual connections on learning",abstract,https://arxiv.org/abs/1602.07261,,,
363,,,,,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Identity Mappings in Deep Residual Networks,abstract,https://arxiv.org/abs/1603.05027,,,
364,,,,,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Deep residual learning for image recognition,abstract,https://arxiv.org/abs/1512.03385,,,
365,,,,,"Max Jaderberg, Karen Simonyan, Andrew Zisserman, Koray Kavukcuoglu",Spatial transformer network,abstract,https://arxiv.org/abs/1506.02025,,,
366,,,,,"Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich",Going deeper with convolutions,abstract,https://arxiv.org/abs/1409.4842,,,
367,,,,,"Karen Simonyan, Andrew Zisserman",Very deep convolutional networks for large-scale image recognition,abstract,https://arxiv.org/abs/1409.1556,,,
368,,,,,"Ken Chatfield, Karen Simonyan, Andrea Vedaldi, Andrew Zisserman",Return of the devil in the details: delving deep into convolutional nets,abstract,https://arxiv.org/abs/1405.3531,,,
369,,,,,"Pierre Sermanet, David Eigen, Xiang Zhang, Michael Mathieu, Rob Fergus, Yann LeCun","OverFeat: Integrated recognition, localization and detection using convolutional networks",abstract,https://arxiv.org/abs/1312.6229,,,
370,,,,,"Ian J. Goodfellow, David Warde-Farley, Mehdi Mirza, Aaron Courville, Yoshua Bengio",Maxout networks,abstract,https://arxiv.org/abs/1302.4389,,,
371,,,,,"Min Lin, Qiang Chen, Shuicheng Yan",Network in network,abstract,https://arxiv.org/abs/1312.4400,,,
372,,,,,"Aaron van den Oord, Nal Kalchbrenner, Koray Kavukcuoglu",Pixel recurrent neural networks,abstract,https://arxiv.org/abs/1601.06759,,,
373,,,,,"Tim Salimans, Ian Goodfellow, Wojciech Zaremba, Vicki Cheung, Alec Radford, Xi Chen",Improved techniques for training GANs,abstract,https://arxiv.org/abs/1606.03498,,,
374,,,,,"Alec Radford, Luke Metz, Soumith Chintala",Unsupervised representation learning with deep convolutional generative adversarial networks,abstract,https://arxiv.org/abs/1511.06434,,,
375,,,,,"Karol Gregor, Ivo Danihelka, Alex Graves, Danilo Jimenez Rezende, Daan Wierstra",DRAW: A recurrent neural network for image generation,abstract,https://arxiv.org/abs/1502.04623,,,
376,,,,,"Ian J. Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio",Generative adversarial nets,abstract,https://arxiv.org/abs/1406.2661,,,
377,,,,,"Diederik P Kingma, Max Welling",Auto-encoding variational Bayes,abstract,https://arxiv.org/abs/1312.6114,,,
378,,,,,"Quoc V. Le, Marc'Aurelio Ranzato, Rajat Monga, Matthieu Devin, Kai Chen, Greg S. Corrado, Jeff Dean, Andrew Y. Ng",Building high-level features using large scale unsupervised learning,abstract,https://arxiv.org/abs/1112.6209,,,
379,,,,,"Rupesh Kumar Srivastava, Klaus Greff, Jürgen Schmidhuber",Training very deep networks,abstract,https://arxiv.org/abs/1507.06228,,,
380,,,,,"Sergey Ioffe, Christian Szegedy",Batch normalization: Accelerating deep network training by reducing internal covariate shift,abstract,https://arxiv.org/abs/1502.03167?context=cs,,,
381,,,,,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Delving deep into rectifiers: Surpassing human-level performance on imagenet classification,abstract,https://arxiv.org/abs/1502.01852,,,
382,,,,,"Diederik P. Kingma, Jimmy Ba",Adam: A method for stochastic optimization,abstract,https://arxiv.org/abs/1412.6980,,,
383,,,,,"Geoffrey E. Hinton, Nitish Srivastava, Alex Krizhevsky, Ilya Sutskever, Ruslan R. Salakhutdinov",Improving neural networks by preventing co-adaptation of feature detectors,abstract,https://arxiv.org/abs/1207.0580,,,
384,,,,,"Jimmy Lei Ba, Jamie Ryan Kiros, Geoffrey E. Hinton",Layer Normalization,abstract,https://arxiv.org/abs/1607.06450,,,
385,,,,,"Marcin Andrychowicz, Misha Denil, Sergio Gomez, Matthew W. Hoffman, David Pfau, Tom Schaul, Brendan Shillingford, Nando de Freitas",Learning to learn by gradient descent by gradient descent,abstract,https://arxiv.org/abs/1606.04474,,,
386,,,,,"Richard Zhang, Phillip Isola, Alexei A. Efros",Colorful image colorization,abstract,https://arxiv.org/abs/1603.08511,,,
387,,,,,"Jun-Yan Zhu, Philipp Krähenbühl, Eli Shechtman, Alexei A. Efros",Generative visual manipulation on the natural image manifold,abstract,https://arxiv.org/abs/1609.03552,,,
388,,,,,"Dmitry Ulyanov, Vadim Lebedev, Andrea Vedaldi, Victor Lempitsky",Texture networks: Feed-forward synthesis of textures and stylized images,abstract,https://arxiv.org/abs/1603.03417,,,
389,,,,,"Forrest N. Iandola, Song Han, Matthew W. Moskewicz, Khalid Ashraf, William J. Dally, Kurt Keutzer",SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and< 1MB model size,abstract,https://arxiv.org/abs/1602.07360,,,
390,,,,,"Song Han, Xingyu Liu, Huizi Mao, Jing Pu, Ardavan Pedram, Mark A. Horowitz, William J. Dally",Eie: Efficient inference engine on compressed deep neural network,abstract,https://arxiv.org/abs/1602.01528,,,
391,,,,,"Matthieu Courbariaux, Itay Hubara, Daniel Soudry, Ran El-Yaniv, Yoshua Bengio",Binarized neural networks: Training deep neural networks with weights and activations constrained to+ 1 or-1,abstract,https://arxiv.org/abs/1602.02830,,,
392,,,,,"Caiming Xiong, Stephen Merity, Richard Socher",Dynamic memory networks for visual and textual question answering,abstract,https://arxiv.org/abs/1603.01417,,,
393,,,,,"Zichao Yang, Xiaodong He, Jianfeng Gao, Li Deng, Alex Smola",Stacked attention networks for image question answering,abstract,https://arxiv.org/abs/1511.02274,,,
394,,,,,"Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V. Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, Jeff Klingner, Apurva Shah, Melvin Johnson, Xiaobing Liu, Łukasz Kaiser, Stephan Gouws, Yoshikiyo Kato, Taku Kudo, Hideto Kazawa, Keith Stevens, George Kurian, Nishant Patil, Wei Wang, Cliff Young, Jason Smith, Jason Riesa, Alex Rudnick, Oriol Vinyals, Greg Corrado, Macduff Hughes, Jeffrey Dean",Google's neural machine translation system: Bridging the gap between human and machine translation,abstract,https://arxiv.org/abs/1609.08144,,,
395,,,,,"Andrew G. Howard, Menglong Zhu, Bo Chen, Dmitry Kalenichenko, Weijun Wang, Tobias Weyand, Marco Andreetto, Hartwig Adam",MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,abstract,https://arxiv.org/abs/1704.04861,,,
396,,,,,"Jonas Gehring, Michael Auli, David Grangier, Denis Yarats, Yann N. Dauphin",Convolutional Sequence to Sequence Learning,abstract,https://arxiv.org/abs/1705.03122,,,
397,,,,,"Marjan Ghazvininejad, Chris Brockett, Ming-Wei Chang, Bill Dolan, Jianfeng Gao, Wen-tau Yih, Michel Galley",A Knowledge-Grounded Neural Conversation Model,abstract,https://arxiv.org/abs/1702.01932,,,
398,,,,,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,abstract,https://arxiv.org/abs/1910.10683v2,,,
399,,,,,"Yuxuan Wang, RJ Skerry-Ryan, Daisy Stanton, Yonghui Wu, Ron J. Weiss, Navdeep Jaitly, Zongheng Yang, Ying Xiao, Zhifeng Chen, Samy Bengio, Quoc Le, Yannis Agiomyrgiannakis, Rob Clark, Rif A. Saurous",TACOTRON: Towards end-to-end speech synthesis,abstract,https://arxiv.org/abs/1703.10135,,,
400,,,,,"Fujun Luan, Sylvain Paris, Eli Shechtman, Kavita Bala",Deep Photo Style Transfer,abstract,https://arxiv.org/abs/1703.07511,,,
401,,,,,"Tim Salimans, Jonathan Ho, Xi Chen, Szymon Sidor, Ilya Sutskever",Evolution Strategies as a Scalable Alternative to Reinforcement Learning,abstract,https://arxiv.org/abs/1703.03864,,,
402,,,,,"Jifeng Dai, Haozhi Qi, Yuwen Xiong, Yi Li, Guodong Zhang, Han Hu, Yichen Wei",Deformable Convolutional Networks,abstract,https://arxiv.org/abs/1703.06211,,,
403,,,,,"Taeksoo Kim, Moonsu Cha, Hyunsoo Kim, Jung Kwon Lee, Jiwon Kim",Learning to discover cross-domain relations with generative adversarial networks,abstract,https://arxiv.org/abs/1703.05192,,,
404,,,,,"Sercan O. Arik, Mike Chrzanowski, Adam Coates, Gregory Diamos, Andrew Gibiansky, Yongguo Kang, Xian Li, John Miller, Andrew Ng, Jonathan Raiman, Shubho Sengupta, Mohammad Shoeybi",Deep voice: Real-time neural text-to-speech,abstract,https://arxiv.org/abs/1702.07825,,,
405,,,,,"Aayush Bansal, Xinlei Chen, Bryan Russell, Abhinav Gupta, Deva Ramanan","PixelNet: Representation of the pixels, by the pixels, and for the pixels",abstract,https://arxiv.org/abs/1702.06506,,,
406,,,,,Sergey Ioffe,Batch renormalization: Towards reducing minibatch dependence in batch-normalized models,abstract,https://arxiv.org/abs/1702.03275,,,
407,,,,,"Chiyuan Zhang, Samy Bengio, Moritz Hardt, Benjamin Recht, Oriol Vinyals",Understanding deep learning requires rethinking generalization,abstract,https://arxiv.org/abs/1611.03530,,,
408,,,,,"Yanghao Li, Yuntao Chen, Naiyan Wang, Zhaoxiang Zhang",Scale-Aware Trident Networks for Object Detection,abstract,https://arxiv.org/abs/1901.01892v2,,,
409,,,,,"Xudong Mao, Qing Li, Haoran Xie, Raymond Y.K. Lau, Zhen Wang, Stephen Paul Smolley",Least squares generative adversarial networks,abstract,https://arxiv.org/abs/1611.04076,,,
410,,,,,"Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, Percy Liang","SQuAD: 100,000+ Questions for Machine Comprehension of Text",abstract,https://arxiv.org/abs/1606.05250,,,
411,,,,,"Junyoung Chung, Kyunghyun Cho, Yoshua Bengio",A character-level decoder without explicit segmentation for neural machine translation,abstract,https://arxiv.org/abs/1603.06147,,,
412,,,,,"Ramazan Gokberk Cinbis, Jakob Verbeek, Cordelia Schmid",Weakly supervised object localization with multi-fold multiple instance learning,abstract,https://arxiv.org/abs/1503.00949,,,
413,,,,,"Mohammad Havaei, Axel Davy, David Warde-Farley, Antoine Biard, Aaron Courville, Yoshua Bengio, Chris Pal, Pierre-Marc Jodoin, Hugo Larochelle",Brain tumor segmentation with deep neural networks,abstract,https://arxiv.org/abs/1505.03540,,,
414,,,,,"Alex Lamb, Anirudh Goyal, Ying Zhang, Saizheng Zhang, Aaron Courville, Yoshua Bengio",Professor Forcing: A New Algorithm for Training Recurrent Networks,abstract,https://arxiv.org/abs/1610.09038,,,
